ID	Name	(P2, WT) / (E14_5, WT)	(P2, WT) / (E14_5, WT).1
B121_HILIC	Aminolevulinic acid	-1.030000000000000	0.000134030421193813000000000000
A023_HILIC	Ketoleucine (4-Methyl-2-oxopentanoic acid)	-5.070000000000000	0.000001429829474272480000000000
A016_HILIC	L-(-)-Threonine	-2.170000000000000	0.000000001493934349244040000000
A046_HILIC	DL-Methionine sulfoxide	-1.660000000000000	0.000010560259755305100000000000
B147_HILIC	N-Acetyl-L-methionine	0.710000000000000	0.040510229710684800000000000000
B167_HILIC	5'-S-Methyl-5'-thioadenosine	-0.680000000000000	0.001073202855291600000000000000
A102_HILIC	Adenosine 5'-triphosphate (5'-ATP)	-2.930000000000000	0.000002154083726801630000000000
A111_HILIC	NADPH	-3.000000000000000	0.021806177477831500000000000000
B180_HILIC	α,α-Trehalose	-2.790000000000000	0.005396634537168000000000000000
B163_HILIC	Oleamide	-1.040000000000000	0.002292436384643440000000000000
A101_HILIC	Cytidine 5'-diphosphocholine (CDP-choline)	-1.170000000000000	0.000061973276052037700000000000
B138_HILIC	7-Methylguanine	0.890000000000000	0.003790796156700240000000000000
A100_HILIC	Cytidine 5'-triphosphate (5'-CTP)	-3.860000000000000	0.000000623877616385108000000000
A040_HILIC	Guanine	-4.150000000000000	0.000009201693361236110000000000
A095_HILIC	Thymidine 5'-diphosphate (5'-TDP)	-3.810000000000000	0.000000559969457433605000000000
B183_HILIC	Uridine 5'-diphosphate (UDP)	-2.960000000000000	0.000000061446766927376600000000
A042_HILIC	Orotic acid	-1.270000000000000	0.000030344803354385400000000000
A049_HILIC	Uric Acid	-2.690000000000000	0.000036891302336992500000000000
A076_HILIC	Thiamine	0.770000000000000	0.042728875807600500000000000000
A097_HILIC	Tocopherol (Vitamin E)	-1.390000000000000	0.019646770940524400000000000000
A083_HILIC	Retinoic acid	-3.050000000000000	0.011995873716617600000000000000
C233_HILIC	Homo-L-arginine	-2.100000000000000	0.000015594005681695500000000000
C268_HILIC	Homoanserine	-1.020000000000000	0.005027775071922920000000000000
C217_HILIC	N-(4-Hydroxybutanoyl)glycine	-1.400000000000000	0.003123705146422520000000000000
C278_HILIC	N-Tridecanoylglycine	-2.120000000000000	0.012026732886487800000000000000
A033_HILIC	6-Oxo-pipecolinic acid	-2.500000000000000	0.002030942405731130000000000000
C215_HILIC	N6-METHYLLYSINE	-1.050000000000000	0.023497706842751100000000000000
C200_HILIC	Pentahomoserine	-1.940000000000000	0.000551857030799958000000000000
C250_HILIC	N-(tert-Butoxycarbonyl)-L-leucine	-3.240000000000000	0.000000017812849865162300000000
B150_HILIC	3-Indoxyl sulphate	-3.920000000000000	0.000000212849523830140000000000
C239_HILIC	2-Amino-5-phosphopentanoic acid	-0.870000000000000	0.019642568878771000000000000000
C211_HILIC	2-Aminomuconic acid	0.900000000000000	0.000045417395074194400000000000
B175_HILIC	4-Dodecylbenzenesulfonic acid	-2.680000000000000	0.000030344803354385400000000000
C190_HILIC	Phosphoramidic acid	-0.390000000000000	0.038586122883855200000000000000
C227_HILIC	3,3'-Thiobispropanoic acid	-1.360000000000000	0.000056118034751472000000000000
C240_HILIC	2-methylcitric acid	0.690000000000000	0.000532051531988882000000000000
C286_HILIC	ophthalmic acid	-2.470000000000000	0.000282340854386439000000000000
A112_HILIC	PC	-0.910000000000000	0.006153706930708420000000000000
C273_HILIC	glu-asp	-0.900000000000000	0.002766557438282660000000000000
B151_HILIC	Valylproline	-0.810000000000000	0.025870528410743800000000000000
C224_HILIC	Hydantoin-5-propionic acid	-0.710000000000000	0.000574339232707120000000000000
C223_HILIC	glyceraldehyde 3-phosphate	-4.060000000000000	0.000000042807175494241900000000
C292_HILIC	glycidyl oleate	-1.850000000000000	0.000012777806572502200000000000
C236_HILIC	4-Hydroxy-2-oxoheptanedioic acid	0.690000000000000	0.049165748437035800000000000000
c363_HILIC	L-Hexanoylcarnitine	-3.030000000000000	0.000000865017377791290000000000
c378_HILIC	trans-2-Tetradecenoylcarnitine	-2.300000000000000	0.000031784765150437300000000000
B179_HILIC	Erucamide	-2.830000000000000	0.000710799762648365000000000000
C291_HILIC	(2E,4Z)-N-Isobutyl-2,4-octadecadienamide	-2.160000000000000	0.005578877990302210000000000000
B152_HILIC	12-Aminododecanoic acid	-2.180000000000000	0.003436904736101930000000000000
C311_HILIC	1-(1Z-hexadecenyl)-sn-glycero-3-phosphocholine	-1.890000000000000	0.002576447199213980000000000000
C290_HILIC	1-(sn-glycero-3-phospho)-1D-myo-inositol	-1.070000000000000	0.000822032736935296000000000000
C334_HILIC	1-[(9Z)-octadec-9-enoyl]-2-hexadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol)	-2.620000000000000	0.000543181776918504000000000000
C347_HILIC	1-Octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoserine	-1.190000000000000	0.017745237246896700000000000000
C317_HILIC	1-oleoyl-sn-glycero-3-phosphocholine	0.590000000000000	0.047591752846227800000000000000
C300_HILIC	1-Palmitoyl lysophosphatidic acid	0.760000000000000	0.003436904736101930000000000000
C336_HILIC	1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine	-1.750000000000000	0.001049862494017230000000000000
C312_HILIC	1-Stearoyl-2-hydroxy-sn-glycero-3-PE	-1.030000000000000	0.007912809636490420000000000000
C332_HILIC	1-tetradecanoyl-2-[(9Z)-octadecenoyl]-sn-glycero-3-phosphocholine	-0.940000000000000	0.004401868893929400000000000000
C339_HILIC	PC(o-16:0/20:4(8Z,11Z,14Z,17Z))	-1.620000000000000	0.003030702887515730000000000000
C338_HILIC	PS(18:0/16:1(9Z))	-3.810000000000000	0.000000331761188852828000000000
B188_HILIC	Palmitoyl sphingomyelin	-2.890000000000000	0.000119006288128819000000000000
B139_HILIC	1-Methylguanine	0.800000000000000	0.010619671855018700000000000000
B168_HILIC	N2-Methylguanosine	-1.490000000000000	0.000073150566665380200000000000
B165_HILIC	Orotidine	-0.670000000000000	0.001417465528876290000000000000
A001_RP	L-(+)-Alanine	-2.050000000000000	0.000002509399715436730000000000
a076_RP	NG-Methyl-L-arginine	-3.000000000000000	0.000000049113424102825100000000
A047_RP	Phosphocreatine	-3.520000000000000	0.000014380285866149600000000000
A019_RP	L-(-)-Asparagine	-0.950000000000000	0.027280898060845700000000000000
A027_RP	L-(+)-Glutamic acid	-0.710000000000000	0.000169131657272664000000000000
A010_RP	Betaine	-1.810000000000000	0.000060827090294279900000000000
A035_RP	3-Methyl-L-histidine	-1.210000000000000	0.003457272879087130000000000000
A026_RP	L-(+)-Lysine	-1.090000000000000	0.000448878476075023000000000000
B081_RP	Pipecolic acid	-2.010000000000000	0.002076862904084230000000000000
B086_RP	Methionine	-0.690000000000000	0.025492355644392000000000000000
A065_RP	S-(5'-Adenosyl)-L-methionine (SAM)	-0.850000000000000	0.001261709817396720000000000000
A034_RP	L-(-)-Phenylalanine	-0.730000000000000	0.029843782608042500000000000000
A005_RP	Hypotaurine	-1.770000000000000	0.000014807182765990500000000000
A012_RP	Threonine	-2.440000000000000	0.000000002597125609809280000000
A046_RP	L-Kynurenine	-4.440000000000000	0.000038742295805806400000000000
A045_RP	L-Tryptophan	-1.160000000000000	0.021024872466103100000000000000
A058_RP	Argininosuccinic acid	-1.910000000000000	0.000370620514944921000000000000
B107_RP	Adenosine diphosphate (ADP)	-2.420000000000000	0.000005694113072277560000000000
A008_RP	Fumaric acid	-1.480000000000000	0.000012610625790161700000000000
A022_RP	L-(-)-Malic acid	-1.930000000000000	0.000002626755024074320000000000
A032_RP	L-2-Aminoadipic acid	-3.680000000000000	0.000123864016756518000000000000
A043_RP	Gluconic acid	-1.330000000000000	0.000005491946003472530000000000
A053_RP	Choline glycerophosphate	-1.520000000000000	0.000382422719042310000000000000
A033_RP	L-Carnitine	-1.570000000000000	0.000000555148212742855000000000
B096_RP	Propionylcarnitine	-2.380000000000000	0.000038865056253167300000000000
A067_RP	CDP-ethanolamine	-0.580000000000000	0.002369824475280000000000000000
A069_RP	Cytidine 5'-diphosphocholine	-0.940000000000000	0.000758375914730397000000000000
B104_RP	3'-Adenosine monophosphate (3'-AMP)	0.990000000000000	0.007045939874119880000000000000
A059_RP	5-Deoxy-5'-(methylthio) adenosine (MTA)	-0.990000000000000	0.019187832113714500000000000000
A060_RP	Thymidine 5'-monophosphate (5'-TMP)	-0.950000000000000	0.008580531358480240000000000000
B110_RP	UDP-N-acetylglucosamine	-0.720000000000000	0.020024842710216100000000000000
B095_RP	Acetylarginine	-1.370000000000000	0.000567124623428294000000000000
C153_RP	Succinyladenosine	0.530000000000000	0.017274217696171100000000000000
C140_RP	N-Undecanoylglycine	-1.760000000000000	0.020867121419962000000000000000
C137_RP	N-(tert-Butoxycarbonyl)-L-leucine	-3.140000000000000	0.000000033831876949064800000000
C139_RP	5-(Phosphonooxy)-L-lysine	-1.080000000000000	0.000000763926857498649000000000
C129_RP	DL-2,6-Diaminopimelic acid	0.910000000000000	0.006064339414036430000000000000
C127_RP	N~6~,N~6~-Dimethyllysine	-1.140000000000000	0.022084027716805600000000000000
C117_RP	Stachydrine	-5.280000000000000	0.000000607891409383800000000000
C125_RP	Guanidinoethyl Sulfonate	-1.650000000000000	0.008897978599439910000000000000
C160_RP	N-Stearoyltyrosine	-1.220000000000000	0.008362718442675110000000000000
B089_RP	N-Acetylornithine	-4.570000000000000	0.000000024825238843784200000000
B088_RP	Isophthalic acid	-1.890000000000000	0.000179796796903559000000000000
c172_RP	alpha-Ketoglutaric acid	-1.500000000000000	0.000006698540423142170000000000
C141_RP	S-3-oxodecanoyl cysteamine	-2.390000000000000	0.001167108714891080000000000000
A066_RP	Stearoyl-L-carnitine	-1.150000000000000	0.014667137655609900000000000000
C154_RP	(2E)-hexadecenoylcarnitine	-1.040000000000000	0.006366722588009150000000000000
C144_RP	2-methylbutyrylcarnitine	-3.340000000000000	0.000169131657272664000000000000
c204_RP	3, 5-Tetradecadiencarnitine	-3.800000000000000	0.000037419568360968000000000000
C136_RP	butyrylcarnitine	-3.480000000000000	0.000091854463356394700000000000
C151_RP	cis-5-Tetradecenoylcarnitine	-2.400000000000000	0.000041285083208853000000000000
c201_RP	decanoylcarnitine	-3.220000000000000	0.000000885957869207672000000000
B098_RP	Hexanoylcarnitine	-2.930000000000000	0.000001338664525304030000000000
C143_RP	Isovalerylcarnitine	-2.170000000000000	0.002026412842582300000000000000
c197_RP	Octanoylcarnitine	-4.150000000000000	0.000002871310814877230000000000
C158_RP	O-oleoylcarnitine	-1.320000000000000	0.000837610948555834000000000000
C145_RP	Glycerophosphoglycerol	-0.740000000000000	0.005608277869900360000000000000
C132_RP	Glycerylphosphorylethanolamine	-1.050000000000000	0.000752291189053921000000000000
C155_RP	uridine 5′-diphosphate	-1.030000000000000	0.000188981758137743000000000000
